id,query,product_title,product_description,median_relevance,relevance_variance,,
1,bridal shower decorations,Accent Pillow with Heart Design - Red/Black,"Red satin accent pillow embroidered with a heart in black thread. 8"" x 8"".",1,0,,
2,led christmas lights,Set of 10 Battery Operated Multi LED Train Christmas Lights - Clear Wire,"Set of 10 Battery Operated Train Christmas Lights Item #X124210 Features: Color: multi-color bulbs with matching train light covers / clear wire Multi-color consists of red, green, blue and yellow bulbs Number of bulbs on string: 10 Bulb size: micro LED Spacing between bulbs: 6 inches Lighted length: 4.5 feet Total length: 5.5 feet 12 inch lead cord Additional product features: LED lights use 90% less energy Cool to the touch If one bulb burns out, the rest will stay lit Lights are equipped with Lamp Lock feature, which makes them replaceable, interchangeable and keeps them from falling out Requires 3 ""AA"" batteries (not included) Convenient on/off/timer switch located on battery pack Timer function on battery pack allows for 6 hours on and 18 hours off Cannot connect multiple sets together UL listed for indoor use only Train dimensions: 1.5""H x 1.8""W x .5""D Material(s): plastic/wire/acrylic",4,0,,
4,projector,ViewSonic Pro8200 DLP Multimedia Projector,,4,0.471,,
5,wine rack,"Concept Housewares WR-44526 Solid-Wood Ceiling/Wall-Mount Wine Rack, Charcoal Grey, 6 Bottle","Like a silent and sturdy tree, the Southern Enterprises Bird and Branch Coat Rack is an eye-catching addition to your home décor. This tree themed coat rack features strong branches with pinecone accents and a small bird perched at the top to give it a whimsical and welcoming appearance while still making it sturdy enough to hold your coats, hats, umbrellas and more. Whether it serves as a coat rack, a hat rack or a combination of the two, it’ll be a great space saver that gets appreciated for its graceful appearance.
Number of Hooks: 10
Frame Material: Metal
Hardware Material: Metal
Dimensions: 69.5 "" H x 13.25 "" W x 13.25 "" D
Weight: 12.0 Lb.
Assembly Details: assembly required",4,0,,
7,light bulb,Wintergreen Lighting Christmas LED Light Bulb (Pack of 25),"WTGR1011
Features
Nickel base, 60,000 average hours, acrylic resin bulb material
Christmas light bulb
Steady dimmable replacement lamps
Nickel bases prevent corrosion in sockets
Wattage: 0.96 Watts
Voltage: 130 Volts
Dimmable: Yes
Light Source: LED
Bulb Shape Type: Candle

Color Amber
Bulb Color: Amber",2,0.471,,
8,oakley polarized radar,Oakley Sunglasses - Radar Path Polished Black/Gray Sunglasses,"Durability and all-day comfort of lightweight, stress-resistant O MATTER® frame material
    Integrated surge ports to channel cooling airflow
    Optimized peripheral view and side coverage of Polaric Ellipsoid�?lens geometry
    Comes standard with Oakley Hydrophobic/Oleophobic anti-smudge lens coating
    Comfort and performance of Three-Point Fit that holds lenses in precise optical alignment
    Metal icon accents
    Optical precision and performance that meets all ANSI Z87.1 standards
    Impact resistance that meets all ANSI Z87.1 standards for high-mass and high-velocity impact
    UV protection of PLUTONITE® lens that filters out 100% of UVA / UVB / UVC & harmful blue light up to 400 nm
    Glare reduction and tuned light transmission of IRIDIUM® lens coating
    Multiple interchangeable UNOBTAINIUM® nose pad options for customizable and comfortable secure fit
    Protective sports-specific Oakley Soft Vault included with capacity for an extra lens
    Polished Black frame/Gray lens",3,1.166,,
10,boyfriend jeans,How To Make An American Quilt (DVD),"ITEM#: 2518897
Director Jocelyn Moorhouse's film adaptation of the novel by Whitney Otto stars Winona Ryder as Finn Dodd, a Berkeley graduate student on summer hiatus at her grandmother's home to work on her thesis and ponder a marriage proposal from her boyfriend, Sam (Dermot Mulroney). Finn's grandma, Hy (Ellen Burstyn), lives with her great aunt, Glady Jo (Anne Bancroft), at their idyllic Northern California home. The two fiery women meet with seven older female relatives and close friends for a regular quilting bee, led by Anna (Maya Angelou). Over the course of the summer, Finn contemplates her future while gaining insight into love and relationships from the different members of the quilting bee. Their experiences are brought to life as each woman shares a unique tale with the confused young woman. The interwoven memories of each sage member of the quilting bee--including Constance (Kate Nelligan); Anna's daughter, Mariana (Alfre Woodard); and Finn's free-spirited mother, Sally (Kate Capshaw)--become lessons in love, pain, and emotional growth for Finn as the women work to make her wedding quilt. Each memory becomes a vivid flashback subtly weaving the past and present together to create a colorful collection of stories, featuring young stars including Claire Danes and Samantha Mathis as the individual women in their youth. A tribute to women's friendship and camaraderie, HOW TO MAKE AN AMERICAN QUILT shines with a cast of all-star actresses.",1,0,,
13,screen protector samsung,ZAGG InvisibleShield Cell Phone Screen Protector for Samsung Galaxy S4 Mini,"Protect your most precious technology with the ZAGG InvisibleShield Cell Phone Screen Protector for Samsung Galaxy S4 Mini. Strong, durable, yet so slim it's almost invisible, this scratch-resistant screen protector will be the only one you'll ever need. It is designed with nano-memory technology that allows small scratches to self-heal. The Samsung Galaxy S4 Mini screen protector also resistant to impact, water, tearing and punctures. Plus, bubble-free application is easy to achieve. If your shield ever gets damaged or starts to wear, no problem you've got a warranty for the lifetime of your device.",4,0,,
17,pots and pans set,"Cook N Home Stainless Steel 4-Piece Pasta Cooker/ Steamer Multi-pots with Encapsulated Bottom, 8-Quart","This ultimate pasta and vegetable steamer cooking set includes four pieces. An 8-quart stock pot with a tempered glass lid, steamer insert and pasta insert all in mirror polished stainless steel. The stock pot features an encapsulated bottom with aluminum core in bottom layer to provide even heat distribution.",2,0.632,,
20,waffle maker,Presto FlipSide Electric Waffle Maker- 03510,"Please the waffle lover in your family with the Electric Waffle Maker by Presto. The stainless steel construction provides even heat distribution, while its unique flip design ensures a crisp, fluffy waffle.
The unique 180° flip design evenly spreads the batter for waffles with a crispy outside and fluffy, tender inside",4,0.471,,
28,oakley radar,"Oakley Radar Pitch Replacement Lens Gray, One Size","If you own the most technologically advanced piece of sports equipment on earth, be sure you get the most out of it. Oakley Radar® is engineered with an interchangeable lens design to let you adapt to any sport environment. Three unique lens shapes are available, so you can choose the amount of coverage that works best for your outdoor activity, and for the way Mother Nature sculptured your facial physique.
We offer a wide range of accessory lens sets including vented designs that offer cooling airflow, as well as the best polarized lenses under the sun. Oakley polarization technology uses a liquid infusion process to bond the polarizing filter at the molecular level. That’s how we eliminate the haze and distortion found with conventional technologies and achieve unbeatable glare-cutting performance.
Our durable Plutonite® lens material offers superior impact protection and filters out 100% of all UV rays. High Definition Optics® (HDO®) maximizes clarity with patented innovations like Polaric Ellipsoid�?geometry for precise, crystal clear vision at every angle of view.",3,0.471,,
31,workout clothes for women,Plus Size Peyton Tank - Tulah,,3,0,,
32,decorative pillows,Surya Ruffle Circle Decorative Pillows Gray 18x18 Poly Fill,"Stylish yet simple, this Surya toss pillow will make a perfect accent for your bedroom or living room. Each solid color pillow has textured accents that leap off the pillow. Featured in beige Choose from an 18"" square pillow or a 22"" square pillow Addition ally, choose from a pillow with polyester fill or down fill Polyester cover is removable Spot clean Imported",4,0.943,,
35,wall clocks,Lorell Round ProFile Radio Controlled Wall Clock,Lorell Round Profile Radio Controlled Wall Clock - Digital - Quartz - Atomic,4,0,,
46,cuisinart coffee maker,Cuisinart DCC-3200 PerfecTemp 14-Cup Programmable Coffeemaker,"The Cuisinart 14-Cup Programmable Coffeemaker is equipped with cutting-edge coffee technology to give you hotter coffee without sacrificing taste. Choose a flavor profile with regular or bold strength control, and set brew-time up to 24-hours ahead. The backlit LCD is easy-to-read, a ready tone can be turned on or off, and an indicator light signals when it's time to decalcify.",4,0,,
